旅客列车梯形密度表（ 日均 ）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  始发日期： 20150108—20150108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K11 ZD074—ZD190-02 开行 1 天 日均定员： 1171 客座率： 81.0 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD074,ZD219,ZD054,ZD036,ZD313,ZD064,ZD222,ZD023,ZD139,ZD244,ZD215,ZD280,ZD032,ZD066,ZD125,ZD092,ZD205,ZD235,ZD240,ZD134,ZD020,ZD017,ZD304,ZD293,ZD111-02,ZD326,ZD250,下车人数合计,,,,,,,,
ZD134,06:13,15,3,,,8,,2,,,,5,,2,5,,1,,,1, ,,,,,,,,42,,,,,,,,
ZD020,06:58,23,,,,8,,3,1,,1,2,,2,1,3,2,2,4,7,4, ,,,,,,,63,,,,,,,,
ZD017,07:25,4,,,,1,,,,,,3,,,,1,,,2,5,1,2, ,,,,,,19,,,,,,,,
ZD304,09:07,5,,,,4,,1,,,,8,,,,4,,,,1,,,, ,,,,,23,,,,,,,,
ZD293,09:23,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,3,,,,,,,,
ZD111-02,10:05,63,5,5,,16,1,1,,,2,21,1,1,,1,1,2,,2,,,8,8,, ,,,138,,,,,,,,
ZD326,11:48,88,,,2,10,,2,,1,1,16,3,1,6,5,1,,2,1,,2,1,1,7,7, ,,157,,,,,,,,
ZD250,13:17,182,3,3,4,17,3,5,,2,2,17,,1,1,6,6,,1,1,1,,6,4,1,4,15, ,285,,,,,,,,
ZD190-02,15:06,223,1,4,3,30,5,6,,,2,9,,,1,7,11,14,9,4,2,2,,1,1,7,14,9,365,,,,,,,,
上车人数合计,,1015,68,142,74,359,21,72,51,43,35,165,5,11,18,41,26,18,29,22,8,6,15,16,9,18,29,9,2325,,,,,,,,
G01 ZD075—ZD190-02 开行 1 天 日均定员： 1102 客座率： 46.5 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD075,ZD220,ZD037,ZD314,ZD223,ZD245,ZD215,ZD227,ZD189,ZD159,ZD235,ZD014,ZD240,ZD242,ZD021,ZD111-03,ZD111-01,ZD326,ZD192,ZD250,下车人数合计,,,,,,,,,,,,,,,
下车站,开/到点,08:05,08:22,08:51,09:17,09:51,10:26,10:48,12:40,13:18,13:46,14:06,14:29,14:48,15:05,15:40,16:27,16:47,17:30,17:50,18:12,,,,,,,,,,,,,,,,
ZD075,08:05, ,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,
ZD220,08:20,16, ,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,
ZD037,08:49,5,, ,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
ZD314,09:15,46,3,12, ,,,,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,
ZD223,09:43,17,,4,38, ,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,
ZD245,10:24,,,,1,3, ,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,
ZD215,10:45,31,6,2,20,13,13, ,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,
ZD227,12:39,17,,1,2,,,105, ,,,,,,,,,,,,,125,,,,,,,,,,,,,,,
ZD189,13:16,14,,3,10,4,2,24,4, ,,,,,,,,,,,,61,,,,,,,,,,,,,,,
ZD159,13:44,12,,,2,,,13,,3, ,,,,,,,,,,,30,,,,,,,,,,,,,,,
ZD235,14:04,16,,,4,2,2,15,,31,26, ,,,,,,,,,,96,,,,,,,,,,,,,,,
ZD014,14:27,7,,,5,,,12,,13,,2, ,,,,,,,,,39,,,,,,,,,,,,,,,
ZD240,14:45,37,6,,10,3,2,34,2,39,22,95,6, ,,,,,,,,256,,,,,,,,,,,,,,,
ZD242,14:56,2,,,,,,4,,,5,11,,1,,,,,,,,23,,,,,,,,,,,,,,,
ZD021,15:36,7,1,,2,,1,12,,31,10,37,,41,13, ,,,,,,155,,,,,,,,,,,,,,,
ZD111-03,16:26,4,,,3,,,4,,1,4,4,10,5,2,2, ,,,,,39,,,,,,,,,,,,,,,
ZD111-01,16:43,20,,,9,3,,21,,9,6,22,8,40,7,12,12, ,,,,169,,,,,,,,,,,,,,,
ZD326,17:29,16,,,3,1,4,12,,12,,21,,27,7,6,11,21, ,,,141,,,,,,,,,,,,,,,
ZD192,17:49,1,,,1,,,13,,2,,5,2,,,2,3,46,7, ,,82,,,,,,,,,,,,,,,
ZD250,18:11,24,,1,3,4,,20,1,8,9,17,1,22,2,7,4,26,6,28, ,183,,,,,,,,,,,,,,,
ZD190-02,19:09,28,,,1,,1,8,5,9,5,25,3,51,10,18,16,56,16,27,14,293,,,,,,,,,,,,,,,
上车人数合计,,320,16,23,114,33,25,297,12,158,87,239,30,187,41,47,46,149,29,55,14,1922,,,,,,,,,,,,,,,
K17 ZD333—ZD190-02 开行 1 天 日均定员： 1266 客座率： 55.0 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD333,ZD363,ZD356,ZD366,ZD336,ZD347,ZD351,ZD329,ZD214,ZD280,ZD032,ZD125,ZD284,ZD205,ZD235,ZD240,ZD020,ZD039,ZD182,ZD293,ZD111-02,ZD326,ZD250,下车人数合计,,,,,,,,,,,,
下车站,开/到点,16:23,16:44,16:56,17:11,17:30,18:10,18:47,19:41,21:09,22:00,22:46,23:59,00:51,02:12,04:19,05:56,07:17,08:36,09:01,09:37,11:05,12:32,13:46,,,,,,,,,,,,,
ZD333,, ,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,
ZD363,16:41,2, ,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
ZD336,17:25,23,,,, ,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,
ZD347,18:02,2,,,,, ,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
ZD351,18:36,,,,,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,
ZD329,19:35,10,2,3,,4,,11, ,,,,,,,,,,,,,,,,30,,,,,,,,,,,,
ZD214,20:42,21,,,1,10,,2,21, ,,,,,,,,,,,,,,,55,,,,,,,,,,,,
ZD280,21:58,7,,,,2,,,,41, ,,,,,,,,,,,,,,50,,,,,,,,,,,,
ZD032,22:44,6,,,,2,,,,6,, ,,,,,,,,,,,,,14,,,,,,,,,,,,
ZD125,23:56,12,,,,4,,,8,14,,3, ,,,,,,,,,,,,41,,,,,,,,,,,,
ZD284,00:48,6,,,,,,,1,6,,,1, ,,,,,,,,,,,14,,,,,,,,,,,,
ZD205,02:06,1,,,,3,,,1,,,,1,1, ,,,,,,,,,,7,,,,,,,,,,,,
ZD235,04:15,8,,,,,,,,18,,,1,2,, ,,,,,,,,,29,,,,,,,,,,,,
ZD240,05:47,32,1,,,3,,,16,344,4,1,30,11,,5, ,,,,,,,,447,,,,,,,,,,,,
ZD020,07:14,13,,,,1,,,12,63,,1,3,1,,2,3, ,,,,,,,99,,,,,,,,,,,,
ZD039,08:33,9,,,,4,,,7,64,3,,8,6,,4,6,1, ,,,,,,112,,,,,,,,,,,,
ZD182,08:59,,,,,3,,,,7,,,,,,,1,,1, ,,,,,12,,,,,,,,,,,,
ZD293,09:35,1,,,,,,,,2,,,,,,,,,1,, ,,,,4,,,,,,,,,,,,
ZD111-02,10:35,15,,2,,1,,,7,82,9,,4,5,4,5,2,,12,17,, ,,,165,,,,,,,,,,,,
ZD326,12:28,14,,,,,,,7,59,,1,3,,,1,,,3,4,1,9, ,,102,,,,,,,,,,,,
ZD250,13:28,12,,,,1,,,7,98,3,,11,1,3,3,1,,5,10,,32,11, ,198,,,,,,,,,,,,
ZD190-02,15:58,14,,,,,,,10,47,,3,26,4,9,6,5,,5,1,,26,8,4,168,,,,,,,,,,,,
上车人数合计,,208,3,5,1,38, ,13,97,851,19,9,88,31,16,26,18,1,27,32,1,67,19,4,1574,,,,,,,,,,,,
K18 ZD246—ZD190-02 开行 1 天 日均定员： 1200 客座率： 66.0 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD246,ZD202,ZD153,ZD165,ZD204,ZD193,ZD057,ZD214,ZD125,ZD205,ZD235,ZD236,ZD240,ZD191,ZD020,ZD017,ZD258,ZD039,ZD304,ZD111-02,ZD311,ZD326,ZD250,ZD062,下车人数合计,,,,,,,,,,,
下车站,开/到点,15:33,16:33,17:19,18:15,18:39,19:30,20:58,22:09,00:49,02:55,04:56,05:47,06:35,07:41,08:04,08:31,09:12,09:42,10:54,11:56,12:45,13:14,15:06,16:00,,,,,,,,,,,,
ZD246,, ,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,
ZD202,16:31,7, ,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,
ZD153,17:17,5,, ,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
ZD165,17:52,14,2,7, ,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,
ZD204,18:37,3,,,1, ,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,
ZD193,19:28,5,,,8,1, ,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,
ZD057,20:56,1,,1,,1,6, ,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,
ZD214,21:54,22,3,16,18,6,17,7, ,,,,,,,,,,,,,,,,,89,,,,,,,,,,,
ZD125,00:43,17,,4,8,,3,11,3, ,,,,,,,,,,,,,,,,46,,,,,,,,,,,
ZD205,02:47,7,,,1,,,,,, ,,,,,,,,,,,,,,,8,,,,,,,,,,,
ZD235,04:52,22,,6,20,2,2,7,5,1,, ,,,,,,,,,,,,,,65,,,,,,,,,,,
ZD236,05:45,20,,5,6,1,,10,6,2,,, ,,,,,,,,,,,,,50,,,,,,,,,,,
ZD240,06:27,99,,16,62,8,12,101,48,12,1,12,8, ,,,,,,,,,,,,379,,,,,,,,,,,
ZD191,07:39,,,,2,,,2,4,,,1,1,1, ,,,,,,,,,,,11,,,,,,,,,,,
ZD020,08:01,18,1,3,19,,6,15,6,2,,11,8,1,1, ,,,,,,,,,,91,,,,,,,,,,,
ZD017,08:28,1,,,2,,2,2,3,,,1,4,3,2,1, ,,,,,,,,,21,,,,,,,,,,,
ZD258,09:09,,,,2,,,,,,,1,2,,,5,, ,,,,,,,,10,,,,,,,,,,,
ZD039,09:38,26,,6,16,1,,7,8,,,4,5,,5,,,1, ,,,,,,,79,,,,,,,,,,,
ZD304,10:51,1,,,,,,,1,,,,,1,,,,,7, ,,,,,,10,,,,,,,,,,,
ZD111-02,11:48,82,,6,25,,5,14,12,1,,7,1,8,,5,12,3,61,6, ,,,,,248,,,,,,,,,,,
ZD311,12:27,,,,,,,1,2,,,1,,1,1,,,,8,1,8, ,,,,23,,,,,,,,,,,
ZD326,13:11,21,2,,14,,2,10,,3,,4,,5,,6,3,1,23,7,12,12, ,,,125,,,,,,,,,,,
ZD250,15:04,42,,4,20,,2,5,6,,,3,2,6,1,2,8,3,13,7,16,12,6, ,,158,,,,,,,,,,,
ZD062,15:50,5,,7,,,,,5,1,,,1,3,,,1,,4,4,14,1,8,79, ,133,,,,,,,,,,,
ZD190-02,16:50,57,2,10,32,,7,6,2,2,4,4,4,27,,2,5,1,18,12,15,29,10,20,13,282,,,,,,,,,,,
上车人数合计,,475,10,91,256,20,64,198,111,24,5,49,36,56,10,21,29,9,134,37,65,54,24,99,13,1890,,,,,,,,,,,
K02 ZD291—ZD190-02 开行 1 天 日均定员： 1061 客座率： 81.6 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD291,ZD003,ZD033,ZD049,ZD101,ZD104,ZD122,ZD109,ZD136,ZD313,ZD064,ZD222,ZD023,ZD139,ZD244,ZD215,ZD280,ZD032,ZD066,ZD125,ZD092,ZD284,ZD205,ZD235,ZD236,ZD240,ZD134,ZD020,ZD047,ZD039,ZD304,ZD111-02,ZD326,ZD250,ZD121,下车人数合计
下车站,开/到点,07:31,08:39,09:29,10:07,10:57,11:29,12:14,14:17,15:19,16:21,17:01,17:42,18:17,18:39,19:03,20:00,21:07,21:56,22:27,23:16,23:51,00:09,01:42,03:43,04:34,05:22,06:04,06:50,07:27,08:14,08:59,10:06,11:11,13:09,14:19,
ZD291,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
ZD003,08:32,42, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42
ZD033,09:27,16,7, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
ZD049,10:01,25,29,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54
ZD101,10:50,1,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
ZD104,11:25,1,,,1,2, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
ZD122,12:10,1,5,3,22,,2, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33
ZD109,14:03,25,6,4,19,,,37, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,91
ZD136,15:14,2,1,4,,2,,1,34, ,,,,,,,,,,,,,,,,,,,,,,,,,,,44
ZD313,15:57,57,5,6,41,4,1,29,20,63, ,,,,,,,,,,,,,,,,,,,,,,,,,,226
ZD064,16:59,9,,,3,,,,15,4,83, ,,,,,,,,,,,,,,,,,,,,,,,,,114
ZD222,17:40,5,,,4,,2,,7,5,72,18, ,,,,,,,,,,,,,,,,,,,,,,,,113
ZD023,18:15,1,,,1,,,,2,,,,36, ,,,,,,,,,,,,,,,,,,,,,,,40
ZD139,18:37,7,,,1,1,,,3,,,1,7,6, ,,,,,,,,,,,,,,,,,,,,,,26
ZD244,19:01,1,1,,3,,,,2,,4,2,9,10,9, ,,,,,,,,,,,,,,,,,,,,,41
ZD215,19:52,2,,,8,,1,9,6,12,22,9,9,8,49,64, ,,,,,,,,,,,,,,,,,,,,199
ZD280,21:05,,,,,,,,2,3,3,,,,1,,16, ,,,,,,,,,,,,,,,,,,,25
ZD032,21:53,,,,1,,,,7,,,,,,2,,17,, ,,,,,,,,,,,,,,,,,,27
ZD066,22:24,4,,,,,,,5,,2,,,1,,,5,,, ,,,,,,,,,,,,,,,,,17
ZD125,23:10,8,,,2,,,,4,,2,,1,,,,14,,1,2, ,,,,,,,,,,,,,,,,34
ZD092,23:49,3,,,,,,,1,,,,,,1,,11,,,,10, ,,,,,,,,,,,,,,,26
ZD284,00:07,1,,,,,,2,,1,3,,,,,,3,,,,3,, ,,,,,,,,,,,,,,13
ZD205,01:24,,,,,,,,1,3,,,,1,,,,,,,,3,1, ,,,,,,,,,,,,,9
ZD235,03:39,,,,,,,,1,,,,,,,,,1,,,,,1,, ,,,,,,,,,,,,3
ZD236,04:31,1,,1,,,,,3,,,,,,,,1,1,1,2,1,,1,4,, ,,,,,,,,,,,16
ZD240,05:16,14,,,4,,,,12,5,31,,2,1,1,2,5,11,1,,8,3,2,,8,4, ,,,,,,,,,,114
ZD134,06:02,1,,,,,,,,,,,1,,,2,4,,,,,,,,,1,7, ,,,,,,,,,16
ZD020,06:47,5,,,1,,,1,17,,19,,,3,,,8,,,1,3,,,,1,3,8,2, ,,,,,,,,72
ZD047,07:25,1,,,,,,2,,,9,,2,,,1,5,,,,10,,,1,4,,7,,13, ,,,,,,,55
ZD039,08:12,13,,,2,,,2,30,1,65,3,5,,,2,9,,,1,5,4,,,5,3,6,8,6,9, ,,,,,,179
ZD304,08:57,1,,,1,,,,2,,10,,2,,,,1,1,1,,,,,,,3,8,,,,15, ,,,,,45
ZD111-02,09:49,103,2,1,1,,,5,41,,69,1,2,1,3,1,11,,1,1,4,,1,1,,5,2,1,2,2,45,18, ,,,,324
ZD326,11:08,9,,,1,,,1,23,2,37,1,3,1,2,4,3,,,2,7,2,,,,1,1,1,3,,21,12,30, ,,,167
ZD250,13:06,34,1,,2,,,6,53,,65,3,10,,2,,6,,,,3,1,1,,1,2,,1,1,3,9,8,28,13, ,,253
ZD121,14:08,,,,1,,,,1,,5,,,,,,2,,,,2,,,,,,1,1,1,,,2,12,5,9, ,42
ZD190-02,14:54,31,2,,7,,,7,20,3,40,2,4,,,1,13,4,,1,5,2,,4,4,3,17,1,2,2,25,13,41,18,29,16,317
上车人数合计,,424,59,19,126,9,6,102,312,102,541,40,93,32,70,77,134,18,5,10,61,15,7,10,23,25,57,15,28,16,115,53,111,36,38,16,2805
G02 ZD215—ZD190-02 开行 1 天 日均定员： 556 客座率： 67.2 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD215,ZD179,ZD093,ZD205,ZD011,ZD159,ZD235,ZD014,ZD240,ZD242,ZD040,ZD111-03,ZD111-01,ZD326,ZD192,ZD250,下车人数合计,,,,,,,,,,,,,,,,,,,
下车站,开/到点,13:53,14:50,15:28,16:13,16:42,17:02,17:22,17:45,18:03,18:15,19:22,19:48,20:06,20:51,21:11,21:35,,,,,,,,,,,,,,,,,,,,
ZD215,, ,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,
ZD179,14:49,24, ,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,
ZD093,15:27,140,2, ,,,,,,,,,,,,,,142,,,,,,,,,,,,,,,,,,,
ZD205,16:11,10,,, ,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,
ZD011,16:40,5,,,, ,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
ZD159,17:00,17,,1,,, ,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,
ZD235,17:20,69,2,7,2,16,10, ,,,,,,,,,,106,,,,,,,,,,,,,,,,,,,
ZD014,17:43,13,,6,2,1,2,14, ,,,,,,,,,38,,,,,,,,,,,,,,,,,,,
ZD240,18:01,125,,18,2,11,7,112,7, ,,,,,,,,282,,,,,,,,,,,,,,,,,,,
ZD242,18:11,4,,,,,1,7,3,1, ,,,,,,,16,,,,,,,,,,,,,,,,,,,
ZD040,19:15,12,2,,,,3,4,4,9,1, ,,,,,,35,,,,,,,,,,,,,,,,,,,
ZD111-03,19:46,7,1,,,2,,4,1,4,2,12, ,,,,,33,,,,,,,,,,,,,,,,,,,
ZD111-01,20:04,18,,,,,5,16,7,24,4,12,4, ,,,,90,,,,,,,,,,,,,,,,,,,
ZD326,20:49,21,3,6,4,1,1,6,,13,3,2,22,14, ,,,96,,,,,,,,,,,,,,,,,,,
ZD192,21:09,5,1,2,,,,3,,,,1,,9,1, ,,22,,,,,,,,,,,,,,,,,,,
ZD250,21:33,19,6,8,1,,1,6,2,15,2,2,21,16,5,2, ,106,,,,,,,,,,,,,,,,,,,
ZD190-02,22:32,15,1,11,2,3,2,8,4,25,5,10,6,32,4,2,5,135,,,,,,,,,,,,,,,,,,,
上车人数合计,,504,18,59,13,34,32,180,28,91,17,39,53,71,10,4,5,1158,,,,,,,,,,,,,,,,,,,
G03 ZD313—ZD190-02 开行 1 天 日均定员： 551 客座率： 83.1 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD313,ZD223,ZD331,ZD140,ZD215,ZD149,ZD126,ZD205,ZD189,ZD235,ZD015,ZD240,ZD242,ZD021,ZD040,ZD111-03,ZD111-01,ZD326,ZD192,ZD250,下车人数合计,,,,,,,,,,,,,,,
下车站,开/到点,10:23,10:59,11:07,11:22,11:59,12:29,13:21,14:15,14:31,15:11,15:30,15:53,16:09,16:41,17:10,17:40,18:00,18:43,19:03,19:25,,,,,,,,,,,,,,,,
ZD313,, ,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,
ZD223,10:57,42, ,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,
ZD331,11:05,8,1, ,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,
ZD140,11:20,7,1,2,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,
ZD215,11:56,64,11,9,41, ,,,,,,,,,,,,,,,,125,,,,,,,,,,,,,,,
ZD149,12:28,4,3,2,,39, ,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,
ZD126,13:20,19,3,,6,15,12, ,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,
ZD205,14:13,1,1,,3,4,,1, ,,,,,,,,,,,,,10,,,,,,,,,,,,,,,
ZD189,14:29,23,3,,,4,2,4,, ,,,,,,,,,,,,36,,,,,,,,,,,,,,,
ZD235,15:09,27,1,,3,11,8,4,,25, ,,,,,,,,,,,79,,,,,,,,,,,,,,,
ZD015,15:28,4,,,1,1,,2,,4,1, ,,,,,,,,,,13,,,,,,,,,,,,,,,
ZD240,15:50,94,2,,3,16,5,4,5,37,35,2, ,,,,,,,,,203,,,,,,,,,,,,,,,
ZD242,16:01,3,,,,1,,,,1,1,,, ,,,,,,,,6,,,,,,,,,,,,,,,
ZD021,16:39,15,,,,1,,,,4,12,1,10,5, ,,,,,,,48,,,,,,,,,,,,,,,
ZD040,17:08,31,1,,2,5,,4,,1,8,5,25,2,1, ,,,,,,85,,,,,,,,,,,,,,,
ZD111-03,17:34,3,,,,2,,,,2,,,5,2,4,2, ,,,,,20,,,,,,,,,,,,,,,
ZD111-01,17:57,45,3,,,7,,7,,7,6,1,27,3,1,7,4, ,,,,118,,,,,,,,,,,,,,,
ZD326,18:42,27,,,,5,,1,,1,5,3,4,4,,4,6,66, ,,,126,,,,,,,,,,,,,,,
ZD192,19:02,9,,,,,,1,,2,3,,5,,,3,12,39,6, ,,80,,,,,,,,,,,,,,,
ZD250,19:24,32,,,,8,1,2,2,6,5,1,20,4,1,1,13,43,10,13, ,162,,,,,,,,,,,,,,,
ZD190-02,20:23,30,,,,3,,9,3,2,5,,25,3,3,18,9,47,15,9,17,198,,,,,,,,,,,,,,,
上车人数合计,,488,30,13,59,122,28,39,10,92,81,13,121,23,10,35,44,195,31,22,17,1473,,,,,,,,,,,,,,,
G04 ZD242—ZD190-01 开行 1 天 日均定员： 1005 客座率： 41.2 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD242,ZD021,ZD040,ZD111-03,ZD111-01,ZD311,ZD326,ZD022,ZD250,下车人数合计,,,,,,,,,,,,,,,,,,,,,,,,,,
下车站,开/到点,10:51,11:23,11:51,12:22,12:41,13:07,13:32,14:06,14:18,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD242,, ,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD021,11:21,12, ,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD040,11:49,6,4, ,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD111-03,12:16,8,4,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD111-01,12:38,69,10,29,14, ,,,,,122,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD311,13:05,13,3,5,10,36, ,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD326,13:30,23,5,10,11,37,9, ,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD022,14:05,3,,2,,21,1,9, ,,36,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD250,14:13,53,13,12,13,52,10,35,6, ,194,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD190-01,15:32,85,25,37,18,72,45,34,12,63,391,,,,,,,,,,,,,,,,,,,,,,,,,,
上车人数合计,,272,64,95,66,218,65,78,18,63,939,,,,,,,,,,,,,,,,,,,,,,,,,,
G05 ZD242—ZD190-01 开行 1 天 日均定员： 556 客座率： 50.2 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD242,ZD021,ZD111-03,ZD111-01,ZD326,ZD192,ZD250,下车人数合计,,,,,,,,,,,,,,,,,,,,,,,,,,,,
下车站,开/到点,13:52,14:24,15:28,15:47,16:31,16:52,17:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD242,, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD021,14:22,42, ,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD111-03,15:09,2,7,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD111-01,15:45,40,20,9, ,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD326,16:29,37,3,20,44, ,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD192,16:50,6,5,22,41,5, ,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD250,17:13,32,5,15,41,15,19, ,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD190-01,18:34,93,3,14,42,20,8,23,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,
